Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C6",C_0402_1005Metric,3,10uF,C15525
"C10, C13, C4",C_0402_1005Metric,3,1u,C14445
"C11, C12, C14, C15, C16, C17, C18, C19, C20, C5, C9",C_0402_1005Metric,11,100nF,C1525
C3,C_0402_1005Metric,1,1uF,C14445
"C7, C8",C_0402_1005Metric,2,22pF,C70464
"D1, D3",LED_1206_3216Metric,2,LED,C434443
D2,D_SOD-323,1,D_Schottky,C22624
F1,Fuse_0603_1608Metric,1,750 mA,C182438
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,HRO_TYPE-C-31-M-14,C165948
J2,PinSocket_1x16_P2.54mm_Vertical,1,Conn_01x16,
J3,JST_EH_S2B-EH_1x02_P2.50mm_Horizontal,1,Battery,
J6,PinSocket_1x12_P2.54mm_Vertical,1,Conn_01x12,
L1,L_0402_1005Metric,1,BLM15PX121SN1D,C88970
Q1,SOT-23,1,SI2301A,C347476
"R1, R2",R_0402_1005Metric,2,5k1,C25905
"R10, R9",R_0402_1005Metric,2,27,C3017455
"R11, R12, R7, R8",R_0402_1005Metric,4,1k,C106235
R3,R_0402_1005Metric,1,470,C25117
"R4, R5",R_0402_1005Metric,2,10k,C60490
R6,R_0402_1005Metric,1,2k,C60488
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
U1,SOT-23-6,1,USBLC6-2SC6,C2827654
U2,SOT-23-5,1,SOT23-5 200mA 3.3V,C11337
U3,SOT-23-5,1,TP4054,C668215
U4,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U5,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C131025
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND23,C9002
