Designator,Mid X,Mid Y,Rotation,Layer
C1,153.0,-37.7,-90.0,top
C10,157.9,-44.68,90.0,top
C11,155.3,-56.39,90.0,top
C12,160.1,-56.4,90.0,top
C13,159.2,-44.68,90.0,top
C14,164.6,-49.5,180.0,top
C15,153.6,-49.5,0.0,top
C16,164.8,-53.1,180.0,top
C17,153.5,-53.1,0.0,top
C18,158.9,-56.4,90.0,top
C19,153.5,-54.3,0.0,top
C20,154.1,-56.39,90.0,top
C3,153.0,-39.8,90.0,top
C4,153.2,-44.3,90.0,top
C5,153.2,-46.4,90.0,top
C7,163.2,-44.4,0.0,top
C8,161.4,-40.6,90.0,top
C9,162.2,-56.9,0.0,top
D2,155.4,-40.3,0.0,top
J1,159.0,-33.94,180.0,top
J2,159.0,-47.94,0.0,top
R1,165.0,-32.7,90.0,top
R10,156.5,-56.4,90.0,top
R2,153.0,-32.6,90.0,top
R4,153.0,-34.8,-90.0,top
R5,153.2,-42.2,90.0,top
R8,161.4,-43.0,-90.0,top
R9,157.7,-56.4,90.0,top
U1,159.1,-41.3375,-90.0,top
U2,155.6,-43.4375,-90.0,top
U4,159.0,-50.5,180.0,top
U5,159.0,-60.4,0.0,top
Y1,163.7,-41.7,90.0,top
